Désignation;Stock;Date de péremption;date d’entrée;id_categorie
TARTINES CHATAIGNE S/GLUTE.150G;12;2024-08-05 00:00:00;2022-11-23 00:00:00;1
34 BISCOTT BRIOCH,HEUDEBER,290G;18;2023-11-18 00:00:00;2022-11-24 00:00:00;1
BISCOT.FIBRE PLUS,HEUDEBER,280G;15;2023-11-21 00:00:00;2022-11-25 00:00:00;1
P/GRILL BLE COMPLET,PELLET,500G;8;2023-10-04 00:00:00;2022-11-23 00:00:00;1
GRILLETTINES SANS SUCRE AJOUTE;13;2023-09-03 00:00:00;2022-11-24 00:00:00;1
BISCOTTE EQUILIBRE X36 300G;11;2023-09-04 00:00:00;2022-11-25 00:00:00;1
LES GRILLETTINES BRIOCHEES 255G;28;2023-05-08 00:00:00;2022-11-23 00:00:00;1
GRILLETINE BLE COMPLET 242G;9;2023-12-25 00:00:00;2022-11-24 00:00:00;1
KRISPROLLS DORES ,425G;6;2023-10-12 00:00:00;2022-11-25 00:00:00;1
KRISPROLLS COMPLET ,425G;3;2023-10-13 00:00:00;2022-11-23 00:00:00;1
JUS PAMPLEMOUSSE ROSE,TROPIC,1L;11;2023-04-27 00:00:00;2022-11-24 00:00:00;2
REVEIL FRUITE TROPICANA ,1.5L;1;2023-04-14 00:00:00;2022-11-25 00:00:00;2
ESSENTIEL MULTIVITAMI,TROPIC,1L;4;2023-04-29 00:00:00;2022-11-23 00:00:00;2
ORANG.PREMI.S/PULP,TROPICA,2x1L;18;2023-05-17 00:00:00;2022-11-23 00:00:00;2
PUR JUS POMME,C QUI LE,PATRO,1L;6;2023-08-01 00:00:00;2022-11-24 00:00:00;2
FRUIT DU MATIN MULTIF,JOKER,1L;12;2023-05-07 00:00:00;2022-11-25 00:00:00;2
JOKER ORANG S/PUL,LES BIEN,0.9L;5;2023-04-30 00:00:00;2022-11-23 00:00:00;2
JOKER LE FRUIT MULTIFRU,BRIQ,1L;10;2023-05-01 00:00:00;2022-11-24 00:00:00;2
JOKER LE FRUIT POMME,1,5L;4;2023-05-05 00:00:00;2022-11-25 00:00:00;2
PUR JUS ORANGE SS PULPE,JOKE,1L;6;2023-04-17 00:00:00;2022-11-23 00:00:00;2
JAVEL PARFUMEE EUCALYP,CLAIR,2L;42;1934-12-31 00:00:00;2022-11-24 00:00:00;3
PASTILLES JAVEL X48, CLAIR, 1P;15;1934-12-31 00:00:00;2022-11-25 00:00:00;3
COUP DE FOUDRE 32D,DASH PO,762G;3;1934-12-31 00:00:00;2022-11-23 00:00:00;3
ARIEL PDRE REGULIER 39D,2.535KG;1;1934-12-31 00:00:00;2022-11-24 00:00:00;3
LESSIVE FRAICH+ , XTRA,2.2L;6;1934-12-31 00:00:00;2022-11-25 00:00:00;3
LESSIVE BEBE,LE CHAT,2.2L;14;1934-12-31 00:00:00;2022-11-23 00:00:00;3
LESS LQ FRAICH.ETE,M.VERTE,2.4L;7;1934-12-31 00:00:00;2022-11-24 00:00:00;3
LESSIV.FRAICH.ETE,M/VERTE,1.80L;3;1934-12-31 00:00:00;2022-11-25 00:00:00;3
LESSIVE TOTAL , XTRA, 2.2L;8;1934-12-31 00:00:00;2022-11-23 00:00:00;3
MIR LAINE,1,5L;14;1934-12-31 00:00:00;2022-11-24 00:00:00;3
.TOMATE COCKTAIL GRAP PDP 500GE;15;2023-11-28 00:00:00;2022-11-25 00:00:00;4
.NAVET VIOLET BIOVILLAGE 500G F;8;2023-11-27 00:00:00;2022-11-23 00:00:00;4
.CELERI RAVE BIOVILLAGE X 8 FRA;7;2023-11-29 00:00:00;2022-11-24 00:00:00;4
.CAROTTE MIX COUL PDP 1KG FRANC;2;2023-12-02 00:00:00;2022-11-25 00:00:00;4
PDT ENTIERES EPLUCHEES 500G;16;2023-12-21 00:00:00;2022-11-23 00:00:00;4
ST NECTAIRE LAITIER AOP,RE,300G;5;2023-12-10 00:00:00;2022-11-24 00:00:00;5
GRUYERE IGP FR,REGIONS DU ,150G;9;2023-12-21 00:00:00;2022-11-25 00:00:00;5
BEAUFORT AOP,REGIONS DU TA,150G;8;2023-12-14 00:00:00;2022-11-23 00:00:00;5
COMTE AOP JURAFLORE BIO,,200G;1;2023-12-16 00:00:00;2022-11-23 00:00:00;5
2 CROISSANTS JBN FROMAGE,A,260G;8;2023-12-28 00:00:00;2022-11-24 00:00:00;6
POELEE PAYSANNE,BONDUELLE,750G;20;2026-07-27 00:00:00;2022-11-25 00:00:00;7
PUREE 4 SAVEURS,BONDUELLE,780G;18;2027-01-08 00:00:00;2022-11-23 00:00:00;7
PUREE SI DOUCE CAROT/POTI,,780G;14;2026-03-13 00:00:00;2022-11-24 00:00:00;7
9 PICCOLINI JBON/FROM,BUIT,270G;15;2025-08-20 00:00:00;2022-11-25 00:00:00;7
6 FILET COLIN ALASKA MSC,F,600G;8;2024-12-28 00:00:00;2022-11-23 00:00:00;7
TERREAU UNIVERSEL  UAB 20L,B,1P;54;1934-12-31 00:00:00;2022-11-24 00:00:00;8
5  BATONS COLLE 10G ESQ;6;1934-12-31 00:00:00;2022-11-25 00:00:00;8
RAMETTE 500F A4 80G,ESQUISSE,1P;17;1934-12-31 00:00:00;2022-11-23 00:00:00;8
LITIERE VEGETALE AGGLOMERANT.7L;175;1934-12-31 00:00:00;2022-11-24 00:00:00;8
6 BOULES DE GRAISSE,ECO+ ,1P;31;1934-12-31 00:00:00;2022-11-25 00:00:00;8
